,genre,avgDuration,medDuration,sd,min,max
0,International,1.581136496777973,1.0,1.5595849305020713,1,26
1,Drama,2.069850746268657,1.0,2.131970255435957,1,23
2,Mystery,2.8275862068965516,1.0,3.308962634493641,1,23
3,Crime,2.1109298531810765,1.0,2.3017671422403976,1,23
4,Action & Adventure,2.2908496732026142,2.0,2.126425754359454,1,16
5,Documentary,1.5698427382053655,1.0,1.5855180463324372,1,19
6,Reality,2.330739299610895,1.0,3.180647597656776,1,30
7,Romance,1.5801980198019803,1.0,1.8164820680555864,1,25
8,Comedy,2.474563401670463,1.0,2.472400522146811,1,32
9,Horror,2.5681818181818183,1.0,2.673875537419494,1,15
10,Spanish,1.5402298850574712,1.0,1.0402822838462549,1,7
11,Thriller,1.9625,1.0,1.5298196303047698,1,9
12,Kids,2.0075901328273247,1.0,1.5947263751867942,1,14
13,Sci-Fi & Fantasy,2.6547619047619047,2.0,2.3413210544427803,1,13
14,Anime,1.5695238095238095,1.0,1.585184496301205,1,26
15,Korean,1.2649006622516556,1.0,0.639812334516582,1,6
16,Teen,3.082474226804124,2.0,2.8528863421278556,1,22
17,Stand Up,1.8103448275862069,1.0,1.9686748285997488,1,13
18,Historical,2.0140845070422535,1.0,2.154682328236272,1,14
19,Music,1.9069767441860466,1.0,1.5401600641672977,1,6
20,Superhero,1.0,1.0,0.0,1,1
21,Survival,2.6666666666666665,2.0,1.8618986725025255,1,5
22,Animals & Nature,2.1794871794871793,1.0,3.1857784212314817,1,19
23,Family,3.6666666666666665,2.0,4.6875595234316,1,34
24,Animation,2.0954446854663775,1.0,2.444070212575504,1,32
25,Coming of Age,2.421875,2.0,1.2447309583721933,1,7
26,Anthology,1.3333333333333333,1.0,0.7302967433402215,1,4
27,Medical,2.25,1.5,1.8929694486000912,1,5
28,Fantasy,2.5185185185185186,2.0,2.140065042434116,1,13
29,Romantic Comedy,2.125,2.0,1.746424919657298,1,8
30,Game Shows,1.3214285714285714,1.0,1.3348205990866455,1,8
31,Sci-Fi,2.4057971014492754,1.0,2.1586505172722408,1,13
32,Police/Cop,1.0,1.0,,1,1
33,Talk Show,1.2142857142857142,1.0,0.4258153136263201,1,2
34,Sports,1.9067796610169492,1.0,2.938071022907916,1,29
35,Western,1.4166666666666667,1.0,0.9003366373785199,1,4
36,Lifestyle & Culture,2.5925925925925926,1.0,3.702809190639624,1,30
37,Musical,1.75,2.0,0.5,1,2
38,Variety,2.2,1.0,1.7888543819998317,1,5
39,Soap Opera / Melodrama,4.0,4.0,4.242640687119285,1,7
40,Parody,1.0,1.0,0.0,1,1
41,Spy/Espionage,2.0,2.0,,2,2
42,Travel,1.0,1.0,,1,1
43,Special Interest,1.6813186813186813,1.0,1.8760043636232695,1,15
44,Action,2.1884253028263796,1.0,2.482179194724423,1,34
45,Adventure,2.3438985736925515,1.0,2.679840675644586,1,34
46,Suspense,1.9666666666666666,1.0,2.473161258520006,1,21
47,Health & Wellness,1.7222222222222223,1.0,1.564516672426553,1,7
48,Arts,1.3846153846153846,1.0,1.1835580748738908,1,7
49,Entertainment,1.3846153846153846,1.0,1.1835580748738908,1,7
50,Military and War,1.125,1.0,0.3535533905932738,1,2
51,LGBTQ,1.837837837837838,1.0,1.5725689088154367,1,8
52,Music Videos and Concerts,1.0,1.0,0.0,1,1
53,Religious,1.4444444444444444,1.0,0.7264831572567789,1,3
54,Cooking & Food,3.1095890410958904,2.0,3.5377395632884014,1,17
55,News,1.2857142857142858,1.0,0.8678978933300584,1,6
56,Black Stories,3.4909090909090907,3.0,2.0080645488437945,1,9
57,Latino,2.858974358974359,2.0,2.957378441472658,1,16
58,Late Night,7.25,2.0,10.5,2,23
59,Sketch Comedy,10.666666666666666,5.0,10.692676621563626,4,23
60,Adult Animation,4.40625,2.0,5.002318011069565,1,20
61,Sitcom,4.7105263157894735,4.0,3.5392206637028156,1,20
62,Cartoons,4.0344827586206895,4.0,2.471014231049522,1,10
63,Science & Technology,1.608695652173913,1.0,1.3395769493246947,1,6
64,Classics,5.85,5.5,2.3680993933621335,1,11
